sybil_address,account_type
0xb09a32774a3bcda84b310e0bbce573b6e009b448,satellite
0x0cd574e4d47c6227a85c468abb21b6f491a137cf,core
0x792be65e2ae6dca2978fa596c6b4331ed22f2007,core
0x3ea0ab67c62b835b464ad1d6954161a1d3a42f44,satellite
0x251a2528368db4a72b86aa418ff687a0e1ed6160,satellite
0x1f6849e2df5b40cd2ddfadbf48c333751346a3ae,satellite
0xaef4e645dfa798d4d4464403d132ee75e2aff085,core
0x42391b82ba54510dc58d1fdf248817468685c07e,satellite
0x47f121dfbc50ed7f3a243c795d1d893b23b9d9e4,core
0xd106a743e9e539d889973d1a57f726f6c996ff8b,satellite
0x24233b5b9ed795388d4ae8ff36a64ce5054cac63,satellite
0xc931c0ee5e6734f66a675d0ed03f953202792eeb,satellite
0xe66848b6a2b1d630acb9d17536dea3a5cd865e39,satellite
0xf3af045c30f1dd2e64d4e8ef41e397c8fd86b9bb,satellite
0xc93e07f49a92ff4057a682386edff49137a5e3c8,core
0xdb72ae6f66a663f4cc16066f69ae7fa5dc986d31,satellite
0xa77cc3d37a42e5d30e3eb893a8a7c7466efcf576,core
0xd8968acdd06d7435eb9797ce0c75c06000a82bde,satellite
0x58d7378c41e61056e77cef5efaca08fa07b24928,satellite
0x9e398cd97a0b185f32a553c17c39184c4247641c,core
0xcd2b3ac7f8b0a16361299790092532b980341331,core
0x1eba4940488e324fea9f9c6abd80c42c14a58102,core
0x67e03617eb4c4acf754bc160d5279aa0c6bc53d4,satellite
0x6a0af8cfac584eebfc561c4bf7cac55a4c13e839,satellite
0x492a93e240d96c6f908f5a25dc74f5dcf0718c33,satellite
0x58dd2eb08545b7d365a877c188a3809b92208fd9,satellite
0x31c9734534809ebf8830f63330824290a22f53ae,core
0x4f55b32505b874ed2baac3b3b113e37b288bb3c5,core
0xeab3baf0e59ba10c2b839c720358d6dc14f3bdca,core
0x2bf70fa433976041980e4a099d532da086637d46,satellite
0x0da28b9dd2d4a15903078abd8616ec7242df7dd5,satellite
0x5023a8f05f6edb078e1946070aa7b426628e72ff,satellite
0x36c69ea174134f3b1221cb6633bd19c95a10e0ca,satellite
0x7719fb30e0a9d849df2cee458f72fbff281bea33,satellite
0x3382e022a4f30decc078d0456c0dcfad77c6bffd,satellite
0x61fb5d2e3025e785c7d6ed770f9357f02e11e761,satellite
0x10bfbc7f4bcd7d8ec9f63e33676b0f08cfb2b751,satellite
0xc60b58489ef6290880a49544cd54de6669a03512,core
0x7dfa461fc0c146ddfdd9bb43feb357e5fdc4973b,satellite
0x09bbca3607576d441d5c995d94f57aaa01ef9003,satellite
0x690f8acd429c22d1f911b9af994a66226afec655,satellite
0x932a2385d8fa988df23751bb5ec8493906015fc7,satellite
0xf1e6c3106a645310976e2a6ec3e6ebfc3e2e9f3a,core
0x84d6a0b300dd8a8cee4e26abd733e03e87ace28c,core
0x9d7817e2b6b0c028debfe628f3a3e41627741da8,core
0x46cb8285417ebda57d820874bdeab22ad3c6583c,satellite
0x45561fb38e4a5aa61fd2d04c96a7dd71a7a857b0,core
0xf809d437d9077d99c45619bc935f242f110decd5,satellite
0x8346a3dd1a47ef3da65d942e188863f252f4dd9e,core
